"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249.150268898079,183.480796358432,254.214664955846,167.370073694227,173.779535711803,189.223483792479,171.974015206535,199.323680739053,217.148145632265,169.748053218904,207.470871744385,230.896191721355,240.76035696187,212.082582170795,254.043512856826,230.553361615789,179.532176571398,168.017215728933,176.055365527708,195.196586095742,168.627802139443,253.761261377011,232.109849875646,193.181915789982,248.252879025133,238.342243889256,222.421787703605,206.489566408402,217.754903188139,173.627932003889,209.946005232233,239.356777782775,198.846951895816,216.873914647457,242.514988955955,171.192335521454,203.355739208988,231.123615156358,175.009713479787,189.529934936066,230.581409080572,208.509496944877,202.246884817207,231.249496766416,197.873512714089,221.0021168282,207.999173275101,228.539706187581,254.013887948307,190.080760900926,232.969380485935,166.412215614877,232.233358707747,234.324203919341,222.045209961837,168.239746329178,244.274405079692,198.08932177905,213.155709435899,213.184804395859,162.884960510544,193.857311356618,221.101861749355,189.312004241178,241.897073353644,174.992760818766,226.604389041095,241.852935912368,229.785770548287,215.043267202537,214.764808883122,191.17150518881,244.925368254736,239.918053395718,222.409687380664,213.867043511555,171.980134944594,189.886197526673,188.085920978605,214.014379004103,241.503925352873,240.83023612617,198.52410518783,211.716999077776,248.50502456354,255.760240718395,204.238984793718,226.02591996258,249.37302440989,191.79207618419,208.187077492672,162.680035701992,208.618947392284,251.491249362866,160.536137780496,183.731490739663,224.144752185599,250.407784363371,248.598777563587,202.355626215365
530.948640438059,387.465226715108,543.689128986851,353.229105590919,365.750901123237,399.370917500338,364.729783051453,423.122646037464,460.646291491456,359.675470347225,441.062996478526,492.701858384552,515.813869815005,451.539828614884,540.626397264027,491.086941093375,380.025163362931,353.53682445763,370.564096408497,415.70560013441,356.886461493245,540.501130384776,496.866704636378,409.579623183757,529.587489418946,509.432267350302,472.341839220989,437.505971465547,463.083799776337,366.256135177053,445.39191809947,508.657292518155,422.829845797004,461.904597514628,515.606538311764,360.392848878298,432.896780012308,494.420902754208,368.144247793168,402.447982563661,489.277784087312,444.968904687321,431.135963910637,494.472274150958,420.735820563337,469.946050581076,443.777452716096,486.384604443617,543.670975732775,401.955224411208,495.533202365527,350.875252385613,495.229792559758,500.925081304919,472.401358688807,354.115422362064,521.349646376157,421.982621002941,453.273589661427,452.410833292709,342.652555903695,411.02713479765,472.247277458263,401.925970201005,516.580456887616,370.848413678369,483.83525361937,517.666535260742,491.180634430628,457.389634687922,458.392294326636,403.515380822647,523.521619655328,511.902880730605,474.108627373695,455.153594464056,361.857779129949,404.317667509396,400.005195404356,454.172813173547,516.682025558036,515.140683576536,420.74033405424,448.797944004282,531.321000261161,544.508732121506,432.632169712072,481.394900617445,533.000796428466,407.647020610172,444.587543454658,342.918133883867,444.404270073488,536.425887616486,338.514336262017,389.551385009777,478.223411532473,534.056657591062,531.322793278633,428.342001272622
672.709262071921,491.203141169461,692.418768386276,450.012675898782,462.683812523632,504.887803359382,467.60922483633,538.475718052581,582.908938626931,460.818550603322,561.455635375426,627.763001251678,660.365653628272,575.560069742089,682.820409209301,623.87290301634,484.325543446045,448.056819690805,468.425609009357,532.518473335127,456.567472198103,683.702898084983,636.275321397107,521.094237687891,672.259699267574,649.93059858581,598.072105023745,553.956238297746,588.352487780782,465.090622396177,564.636036233296,642.584032032186,539.702196713014,588.449337766124,651.486745821257,456.540952910055,552.890237047784,632.554667148263,465.084861286633,513.888125790818,617.615667446443,569.894007748561,552.081052444159,632.140216886244,537.125308868502,596.539726867196,568.223148849122,617.277171932159,693.294686615172,509.657537569236,627.731656339534,446.486657226291,630.123032727238,639.741124981094,600.021144093627,448.982631258539,662.793829883035,540.360126455603,576.450674953165,573.390889921361,435.013495215852,522.863732552525,603.897706033283,513.130525165635,657.660382016401,474.316039912055,617.631687375961,661.56511442554,627.773054799908,581.639831370246,586.349503511604,509.888445903376,667.144677282031,650.982667819659,604.122541789227,579.522781994633,457.849222124815,518.586597936499,512.324516477127,575.512160396328,659.842761427574,657.74219703888,534.113697248888,567.961235419563,676.977490986126,688.017721193529,547.886025161149,612.031945882249,678.642586180082,521.006210135007,570.105205149171,436.86087486872,567.458599571473,680.418171666913,431.898208694445,497.107595079035,610.02120683497,677.412426425902,676.546041901707,542.091362111401
759.444116854787,555.555309178524,786.359201706682,512.12689108517,522.149038517996,569.104841851345,535.971636852113,611.512461489747,657.399963013655,527.814018202201,637.699894235514,713.493628083993,754.632999627425,654.676563313053,768.005189058836,706.666988166008,551.201691604449,506.81695191224,528.138167455743,609.40769508912,522.070156847222,770.364142386233,727.40250874527,591.66161794572,760.620429308072,739.740885893035,674.920164912804,625.299575622642,666.634087855443,527.189201520943,638.225523806057,723.054997294443,615.018571434882,668.856045268619,733.206866806752,516.089835836109,630.435552528029,722.379473633571,524.020306236359,585.99452278793,694.40382892056,651.860435700498,631.433626462853,721.272310077856,612.223007311119,675.176850429874,649.761507416358,698.400847116559,788.540654027163,576.44192405588,708.668250174044,507.438049769522,715.031179118318,729.057487899985,679.585313525614,508.111510636251,751.249120263855,618.080186788981,653.93960064508,647.894591727426,493.135201678621,593.565369609752,689.371590677517,585.011274129815,746.674908596641,542.10652582167,703.562280600332,754.444115527464,716.092346756764,659.746052206711,669.635357503899,574.40112833917,758.271073053084,738.159728315721,686.777010500312,658.31387478291,516.840360231186,594.407350294787,586.289458062568,650.136615213146,751.870183151492,749.308102107769,604.820118152279,640.663513920991,769.276559810882,774.221711189681,618.609367204107,693.920538169551,770.536239389286,594.712277680116,653.032068743788,497.220035836102,646.813954306378,769.13809056233,492.46605794995,566.529686599703,694.328744767953,765.750688844046,768.215173387329,611.614534304606
819.811177879971,601.033931459134,853.969113369033,557.590916250971,563.685521501912,613.569002076136,587.754204363622,664.230907493169,709.025049850648,578.405410488486,692.741780497554,775.516932432127,824.713154464089,712.2173878539,825.941326796447,765.467656713319,600.102887887555,548.444594000726,569.606321514822,667.1052603534,571.153401439784,829.965004744811,795.307778014647,642.57115708635,822.922455129648,805.181122467349,728.360463596947,675.042633144305,722.365379402427,571.668684490512,689.934785671288,777.973278737946,670.360967228344,727.094478581192,789.033708120775,558.10698626789,687.575012735507,788.968949313972,564.789490272049,639.199853378071,746.567314057727,713.174601309023,690.792065800507,787.063909703458,667.475445326629,730.808908226396,710.669336485983,755.654908380812,857.640342289816,623.617070784054,765.047381468759,551.750199234929,775.932085029466,794.570696637869,736.088663664366,550.112220150473,814.261461888603,676.255440518332,709.491717600127,700.126522739933,534.835325240721,644.518389342866,752.638532274164,637.99318973785,810.672572269359,592.752960511424,766.480644878125,822.784413902313,781.19709382963,715.698591629788,731.443657839209,618.899822413453,824.164588068037,800.410762582019,746.675354099048,715.210467430977,558.123495335937,651.75359461528,641.822496544581,702.379746156236,819.307466614217,816.332010167972,655.060675795447,691.127506362361,835.92891371256,833.024104402739,668.008453238422,752.404304868448,836.603247598171,649.361164952662,715.485627449599,541.450908262102,705.164453118229,831.349656478621,537.273686178713,617.62999243921,755.809083860064,827.706026658087,834.150883009651,659.966882291673
863.836865859046,634.7839956303,904.960727311893,592.519115240604,594.159652295287,645.885201040439,628.840719463819,704.160752529025,746.547747544225,618.433591773358,734.428131850521,822.558805354142,879.268544266895,756.107288080109,867.186434517718,809.258464961159,637.627018550778,579.425803627395,599.849966309392,712.46203400352,609.711184867324,872.894150240859,848.297492105234,681.117392991864,868.9650965054,855.15296180366,767.332718493065,711.432195582392,763.985503866879,605.128284757398,728.058337562996,817.230441787714,713.004602669988,771.331419634645,828.979012279031,589.248583119006,731.716664242348,840.677219583599,594.407068082048,680.372706406951,783.684057235056,761.221222859966,737.311545871781,837.944501614448,710.104783399568,772.090191857279,758.332075834868,798.031640783773,910.164766191285,658.603586255594,806.220694873698,585.574098619408,821.733343051361,844.924936795124,778.175434201361,581.452068739448,861.314766568318,721.878422548371,751.269556927361,738.541924941357,566.262391886547,683.056036510347,801.705118044757,678.948797158531,858.901374009534,632.420320592499,814.767674811722,875.461454778016,831.482599322113,757.74557667208,779.508330156345,651.112161172687,874.100490827585,847.010505045579,792.192014214883,758.304309638459,588.470866742533,697.17497533305,685.508869303878,740.749515360046,871.084570009789,867.736811143627,692.527574818735,727.872255535141,886.370950091249,875.013125047769,704.216941031636,796.207587313049,886.38532540903,691.843385339084,764.737028326868,575.473053279159,750.148115923118,877.065024923821,572.057340705374,657.087288553061,802.810720377814,873.245612976507,883.857748527817,695.253206597811
895.400780314579,659.537428245254,942.957446249914,619.155163255115,616.226835929135,669.01577120665,661.266408213746,734.111631789707,773.376215638216,649.931962533122,765.685243223498,857.860682701145,921.385706142049,789.272357881591,895.901748829235,841.45049658044,666.19671254246,602.235606127785,621.597467126023,747.887464428862,639.825778283411,903.211538104885,889.321335699736,710.024830448858,902.491201015868,892.929770433279,795.302572946342,737.659933094333,794.692290146044,630.056031968445,755.782659284293,844.71774761856,745.599313211216,804.59842416293,856.977798205585,612.064946280263,765.546459956579,880.497816124272,615.608150906948,711.999916907438,809.535923774313,798.609427190945,773.52147805874,876.95563900833,742.73633427171,802.321767361137,795.366239429348,828.967777253681,949.648093954864,684.239332518667,835.806718208896,611.187845670705,855.778960488079,883.269364760704,809.129479477677,604.59239797044,895.995462527141,757.419118015409,782.34250492653,766.395922124741,589.731344386875,711.92096701071,839.449942215331,710.370941563404,894.821720497048,663.297563389385,851.486064006234,915.69147652874,869.985022561485,788.990777486615,816.598744625157,674.057645276785,911.52353068773,881.457853970874,826.43219942527,790.611284131315,610.497177331925,732.940460971572,719.66325169506,768.525223310802,910.457721093387,906.781708569565,720.144295491133,754.20677543148,924.109595832114,904.352949748845,730.377402699311,828.62326590492,923.44793836269,724.634160750346,803.322704372017,601.455630203641,784.54182561673,910.12881765497,598.88900365851,687.329674420241,838.402777847092,906.195766709611,920.885450052222,720.617619854222
916.329722135131,676.552467085898,969.598281678598,638.477718606401,631.124239882854,684.354232480952,685.840211896354,755.342033095263,791.116377931754,673.717627108684,787.824443523326,882.872869087231,952.367897020399,813.007529581094,914.083902274763,863.611842395625,686.871084696064,618.009020286724,636.127142253411,774.370985746324,662.35446702182,922.849390982613,919.616679705119,730.514339300818,925.240798390821,919.957854321463,813.898498537523,755.220344889375,815.949833574901,647.577221222491,774.588259529163,862.294474242545,769.294036392038,828.24787805023,874.90919774211,627.731952945089,790.222103885725,909.703964776966,629.678232456031,735.148452430283,825.934647108905,826.420531627619,800.470081443226,905.404067389434,766.50470552674,823.027418983731,822.861262327901,850.054317219921,977.668159287365,701.832585971309,855.504630076032,629.597639196092,879.585290100983,910.976734283518,830.459705996976,620.658724224415,919.947038066579,783.899357751699,804.101996239874,785.205255878752,606.286321544597,732.344675807028,867.101729429609,733.332466173193,919.998701452736,686.294444463093,877.975015339272,944.8674086897,898.013094099473,810.842564690512,843.88811174689,689.161652581237,937.977377651842,905.350925649807,850.779922202808,813.48338406008,625.418233128548,759.95710485073,745.233708083602,787.236704357828,938.849606709892,934.893951529232,739.250821132904,771.687056900376,950.722376061827,923.038048543642,747.957830567771,851.153383663806,949.406074956927,748.783431838307,832.271986533576,620.342394564876,809.547709838487,932.339830619312,618.650712169318,709.404377083543,863.937927802052,928.345463949705,946.840511171488,737.535304018946
927.762552914477,686.597833907621,985.886641342031,651.064404403857,639.610311829959,692.760493139255,703.004886642981,768.61149299615,800.764607441674,690.242207724696,801.638622041324,898.475617129253,972.977521927752,828.090519053828,922.985040998788,876.707897925239,700.27739076927,627.436116590183,644.224720433076,792.473383852295,677.781092242023,933.017173520794,939.902589220604,743.322130260264,938.292540919508,937.109541100459,824.130650562208,765.036988823666,828.655703966032,658.371680062619,785.387553087952,871.123189182037,784.768225892333,843.096969003301,883.948556905259,636.967062332619,806.425979335667,929.043159304151,637.408094763451,750.443088560334,834.012204120958,845.273545424858,818.756623447631,924.06224848236,782.079011730333,835.145551874751,841.443351264989,862.273220239454,995.183965093216,712.183811915622,866.370182487533,641.402176115045,894.079517604737,928.867271471406,843.093546190781,630.334589357996,934.182063615187,801.902125828741,817.396016860045,795.906473632454,616.556217570052,745.070943615902,885.382314537009,748.463276443286,935.389931030214,701.929408885919,895.035007242664,963.819165196627,916.342154820384,824.159790743761,862.060532078723,697.305187413645,954.402105180139,919.672204536713,866.071681565297,827.739495621232,633.978573799528,778.726160385642,762.755260879146,797.828922692526,957.112712838551,952.929912044865,750.666376673542,781.276696148215,967.171224473053,932.31934209066,757.863820995358,864.718367915022,965.248290462219,764.901109417625,852.163851714867,632.688955031195,825.876920780468,944.816824451377,631.852987026387,723.926276589243,880.228443781528,940.806416260915,962.705680221329,746.917917489692
