"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249.150268991472,183.480796681803,254.214665052824,167.370073934923,173.779535987774,189.22348413582,171.974015459169,199.323681088121,217.148145694514,169.748053463588,207.470872075264,230.896191788099,240.760357044904,212.082582479914,254.043512953272,230.553361682599,179.53217687333,168.017215974532,176.055365817393,195.19658644205,168.6278023813,253.761261473431,232.109849943473,193.181916137458,248.252879117789,238.34224396905,222.421787757293,206.489566744879,217.754903247673,173.627932275648,209.946005554505,239.356777865207,198.846952243942,216.873914709787,242.514989042414,171.192335780157,203.35573955065,231.123615222508,175.009713764097,189.529935274897,230.581409148971,208.509497269115,202.246885159971,231.249496832978,197.873513062507,221.00211688141,207.9991736015,228.539706250861,254.013888045345,190.080761244677,232.969380557765,166.412215853886,232.233358777336,234.324203992122,222.045210014645,168.239746575206,244.274405168094,198.089322126115,213.155709740367,213.18480470183,162.884960745276,193.857311704968,221.101861800766,189.312004579546,241.897073438972,174.992761092653,226.604389099603,241.852935997237,229.785770612265,215.043267498401,214.764809177119,191.171505536483,244.92536834379,239.91805347832,222.409687432767,213.867043811978,171.980135209346,189.886197863992,188.085921311872,214.014379306253,241.503925437325,240.830236209663,198.524105538455,211.716999392062,248.505024656372,255.760240815612,204.238985136712,226.025920020976,249.3730245035,191.792076527339,208.18707781772,162.680035934864,208.618947717305,251.491249458045,160.536138012248,183.731491059867,224.144752239618,250.407784457711,248.598777656481,202.355626562716
530.948640027047,387.465226511532,543.689128521048,353.229107186237,365.750900949028,399.370917307363,364.729782897789,423.122645882475,460.646291565155,359.675472021484,441.06299636464,492.701858435601,515.813869820769,451.539828530898,540.626397188128,491.086941143901,380.025163162256,353.536826044645,370.564096218959,415.70559996713,356.886463134306,540.50113030903,496.866704685483,409.579623005593,529.587489010563,509.432267366565,472.341839298064,437.505971342269,463.083799854984,366.256135005504,445.391917997443,508.657292524529,422.829845641875,461.904597592963,515.606538303634,360.392848726634,432.896779878453,494.42090280691,368.144247609777,402.447982376713,489.277784133196,444.968904584004,431.135963773013,494.472274202586,420.73582040428,469.946050662243,443.777452609538,486.384604501183,543.670975264029,401.95522422201,495.533202403496,350.875253955731,495.229792604434,500.925081342023,472.401358769377,354.115423955942,521.349646361584,421.98262084665,453.273589582581,452.410833211276,342.652557399153,411.027134621627,472.247277545864,401.925970013404,516.58045688495,370.848413499722,483.835253689284,517.666535260038,491.180634488383,457.389634619363,458.392294261698,403.515380634635,523.521619638268,511.902880737209,474.108627456449,455.153594390362,361.857778970605,404.317667325822,400.0051952153,454.172813096692,516.68202555883,515.140683580656,420.740333894359,448.797943912266,531.320999840163,544.50873204346,432.632169576924,481.394900686193,533.000796001664,407.647020430198,444.587543350291,342.918135389577,444.404269968626,536.425887182473,338.514337740908,389.551384809689,478.223411611149,534.056657166336,531.322792858825,428.342001127746
672.709173282916,491.203155485092,692.418676434259,450.012600366228,462.683824732806,504.887818121805,467.609235811957,538.475730453982,582.908942359989,460.81847556708,561.455644235593,627.763005519479,660.365659478253,575.560075656403,682.820408719443,623.872907139314,484.325556807934,448.056744720083,468.425621981641,532.518486214208,456.567396825842,683.70289759421,636.27532596001,521.094251546645,672.259612524159,649.930604051728,598.072107708215,553.956248284361,588.352491068757,465.090634366031,564.636044153736,642.584037537309,539.702208965434,588.449341209247,651.486751772776,456.540964106306,552.890247555718,632.554671525742,465.084873973608,513.888139723759,617.615671427533,569.894015331229,552.081063151823,632.140221272536,537.125321393434,596.539729590984,568.223156750001,617.277175660195,693.294595581131,509.657552044715,627.731660807796,446.486581491581,630.123037194068,639.741129893885,600.021146822659,448.982556360161,662.793836096758,540.360138628234,576.450680467346,573.390895798261,435.013419166896,522.863746316201,603.897708754161,513.130539121022,657.660387939941,474.31605196309,617.631690960544,661.565120373268,627.773058943315,581.639835894435,586.349507692543,509.888460596611,667.144683579126,650.9826734618,604.122544590872,579.522786993551,457.849233673529,518.586611490617,512.32453023487,575.512165800241,659.842767319959,657.742202844841,534.113710139398,567.961242444805,676.97740594489,688.017720729632,547.886036204227,612.031949264134,678.642499817521,521.006223789184,570.105212780684,436.860798814015,567.458607430842,680.418080770385,431.898132942774,497.107608963384,610.021209965771,677.412336849954,676.545956442295,542.09137401226
759.44406935601,555.555300867475,786.358990397651,512.126951169356,522.149034064251,569.10483252864,535.971632072452,611.512454125295,657.399964653645,527.814075739984,637.699890656189,713.493629123295,754.632998875557,654.676562827458,768.005190923874,706.666989333683,551.201684085183,506.817012728868,528.138162075784,609.407687190422,522.070215433837,770.364310887939,727.402509456093,591.661608953206,760.620220222473,739.740885596137,674.92016755377,625.299570834057,666.63408996876,527.189196828121,638.225521206689,723.054996963434,615.018564232168,668.85604724807,733.206865979062,516.089832483047,630.435547203748,722.379474536723,524.020301346157,585.99451366621,694.403830187125,651.860433465817,631.433620925253,721.272310977455,612.222999809766,675.17685309121,649.761504847232,698.40084866387,788.54044453569,576.441914588648,708.668250947215,507.438110466547,715.031179956466,729.057488273513,679.585316179736,508.111571224803,751.249119103579,618.080179671512,653.939600576917,647.894591273221,493.135263148129,593.565360728524,689.371593362671,585.011264977948,746.674907763099,542.106519835626,703.562282369922,754.444114644886,716.092347919369,659.746053185705,669.635358843239,574.401118879477,758.271071767624,738.159727808486,686.777013090026,658.31387525857,516.84035659415,594.407341597867,586.289449108162,650.136615257065,751.870182336372,749.308101399601,604.820110250442,640.663512257406,769.276353749754,774.221712992373,618.609361292058,693.920540134912,770.536031816589,594.712268899934,653.032066456851,497.220096349165,646.813951781018,769.137877577151,492.466117222833,566.529677754097,694.328747015498,765.750476940729,768.214966588835,611.614527469234
819.811318306492,601.033927872585,853.969520562941,557.590852074842,563.68551605119,613.568999134799,587.75420029287,664.230905027501,709.025047230589,578.405346652291,692.741777893653,775.516929923416,824.713152274191,712.21738517151,825.94132594376,765.467654235509,600.10288436733,548.444530464036,569.606316276142,667.105257885483,571.153337312624,829.964736187436,795.307775571467,642.571154718123,822.92285368094,805.1811201844,728.360461034751,675.042630610604,722.365376766618,571.668679466197,689.934783055381,777.973276341548,670.360964740768,727.094475942431,789.03370575605,558.106980658935,687.575010176973,788.968946843389,564.789484820726,639.19985100747,746.567311630292,713.174598674486,690.792063245283,787.063907218575,667.47544285174,730.808905594011,710.669333858053,755.654905888694,857.640746964372,623.617068258735,765.047379068681,551.750135038268,775.932082559889,794.57069419799,736.088661034929,550.112156623653,814.261459675865,676.255438016858,709.491714907134,700.126520063564,534.835261703338,644.518386966948,752.638529678577,637.993187372266,810.67257005269,592.752956657809,766.480642312913,822.784411757534,781.197091321522,715.698588906177,731.443655127836,618.899819700158,824.164585933866,800.410760309413,746.675351484112,715.210464724026,558.123489691239,651.753592194862,641.822494154578,702.379743465147,819.307464453947,816.332007980273,655.060673374689,691.127503727758,835.929308277819,833.024103581564,668.008450746328,752.404302279195,836.603644962336,649.361162546055,715.485624820681,541.450844843182,705.164450484555,831.350063308279,537.273624050016,617.629989771617,755.809081265431,827.706431059115,834.151278643129,659.966879846328
863.836850516576,634.783994733947,904.960490087188,592.51919172382,594.159651546857,645.885200030642,628.840718826891,704.160751204655,746.547745948405,618.433670655087,734.428130319883,822.558803470358,879.268542147232,756.107286417314,867.18643406435,809.258463099042,637.627017736584,579.425878343844,599.849965517716,712.462032711208,609.711262990253,872.894393066636,848.297490128296,681.11739182988,868.964853754909,855.152959756319,767.332716805754,711.432194145945,763.985502199778,605.128284040692,728.058336031789,817.230439929659,713.004601321844,771.331417930865,828.979010407414,589.248582427945,731.71666276797,840.677217642143,594.407067301757,680.372705309603,783.684055439468,761.221221209432,737.311544390693,837.944499688532,710.104782075798,772.090190168607,758.332074201345,798.031638977116,910.164532645936,658.60358520488,806.22069299236,585.5741744318,821.733341138535,844.924934814656,778.175432491095,581.452143664516,861.314764546377,721.878421180264,751.269555275381,738.541923340457,566.262465400818,683.056035331476,801.705116216832,678.948796068478,858.901371962227,632.42031988179,814.767672959416,875.461452652197,831.482597415251,757.745574977975,779.508328366573,651.112160119853,874.100488743442,847.010503035896,792.192012442384,758.304307950893,588.470866026847,697.174974180033,685.508868218743,740.74951374402,871.084567896303,867.736809044222,692.527573541422,727.872253988374,886.370717326282,875.013124585561,704.216939645104,796.20758553932,886.385090247386,691.843384168985,764.737026664014,575.473127164954,750.148114318676,877.064777983874,572.057413858367,657.087287627025,802.810718565735,873.245366575911,883.857513951128,695.253205262151
895.400770608089,659.537427137052,942.95753974324,619.155308413115,616.2268347141,669.015770180665,661.266406929178,734.111630866648,773.376215018565,649.932069596437,765.685242363817,857.860681969911,921.385705244788,789.272357013338,895.901745328541,841.450495951171,666.19671136426,602.235786552171,621.597465935311,747.887463350603,639.82589357757,903.211428867049,889.321334795253,710.024829460323,902.491293678464,892.92976966394,795.302572369507,737.659932329925,794.692289431197,630.056030762952,755.782658533967,844.717747227689,745.599312230167,804.598423361648,856.977797818956,612.064945041798,765.546458993565,880.497815252556,615.608149696815,711.999915830947,809.535923357267,798.609426178422,773.521477028681,876.95563816367,742.736333279401,802.321766698897,795.366238422317,828.96777665293,949.648186923533,684.239331508648,835.806717692679,611.187995717308,855.77895980567,883.269363947768,809.12947880559,604.592576617086,895.995461904834,757.419116963138,782.342504125814,766.395921407634,589.731493196644,711.920966032486,839.44994132191,710.370940487269,894.821719815046,663.297562145276,851.48606319688,915.691475695134,869.985021721707,788.990776697822,816.598743660595,674.057644284807,911.523529968872,881.457853330914,826.432198655625,790.61128330195,610.497176094957,732.940459831816,719.663250561964,768.525222604466,910.457720286561,906.78170777056,720.144294596147,754.206774730961,924.109686950709,904.352946009257,730.377401904873,828.623265229196,923.44803009643,724.634159684191,803.322703324822,601.455758316018,784.541824686503,910.12891184889,598.889109011813,687.329673278153,838.402777051512,906.195860584892,920.885541476323,720.617619043791
916.329201833404,676.552464547039,969.598434898201,638.477571946576,631.124238989203,684.354229789561,685.840209522495,755.342029359669,791.116373766871,673.717520660111,787.824439623987,882.872865888523,952.367895172233,813.007525784539,914.083878764802,863.611838740537,686.871081947384,618.008837681735,636.127141203911,774.37098262353,662.354346876242,922.848646079834,919.616677479607,730.514335799548,925.240955671924,919.957851668621,813.898494424536,755.220340877343,815.949829613842,647.577219494213,774.588255393328,862.294470352257,769.294032831165,828.247874342849,874.90919400145,627.731952087831,790.222100335247,909.703962330259,629.678231726029,735.148449143756,825.934642897806,826.420528511529,800.470078254149,905.404064809798,766.504702004161,823.027415023074,822.861259155276,850.05431341494,977.668307703433,701.832582837852,855.504626153255,629.59748456988,879.585286713768,910.97673162732,830.459702114838,620.658545564098,919.947035145922,783.899354563524,804.101992203113,785.205251654402,606.286158638925,732.344672271191,867.101726442979,733.332462878942,919.998698621719,686.294441889904,877.975012287792,944.867406549968,898.013091403899,810.842560640565,843.888108496447,689.161649770384,937.977375163063,905.350922532929,850.779918708367,813.483380133609,625.418232464883,759.957101958232,745.23370505716,787.236700114687,938.849604413594,934.893949158077,739.250817407092,771.687052707731,950.722523078959,923.038031691472,747.95782665395,851.153380003316,949.40622492046,748.783428540424,832.271983635704,620.342251184643,809.54770625759,932.339992890028,618.651113025,709.404374032918,863.937924530587,928.345624892739,946.840660241823,737.535300223221
927.761065913843,686.597833059337,985.886525640291,651.064490715561,639.610309422529,692.760492374789,703.004886055789,768.611493381462,800.764608276711,690.242273786838,801.638622599526,898.475617513564,972.977521055709,828.090519583058,922.985034082574,876.707898600562,700.277389609684,627.436213371319,644.224718152725,792.473383506566,677.781167629078,933.015739387121,939.902588515473,743.322130421112,938.292403941953,937.109541134733,824.130651451748,765.03698933873,828.655704696753,658.371678568306,785.387553753234,871.123190195541,784.768226249773,843.096969560246,883.948557875757,636.967059935716,806.425979710303,929.043157821007,637.408092182466,750.443086893021,834.012205173689,845.273544888289,818.75662287299,924.062247665342,782.079010533263,835.145552661563,841.44334993305,862.273221007035,995.183859993788,712.183811617746,866.370183358933,641.402267471362,894.079518106068,928.867271332823,843.093546943724,630.334683647847,934.182063952195,801.902125227423,817.396017530818,795.906474389128,616.556320616253,745.070943799992,885.382314663413,748.463276598318,935.389931245423,701.929406909286,895.03500748537,963.819164368902,916.342153988124,824.159791434267,862.060531328521,697.305186757853,954.402105190324,919.672204934436,866.07168206009,827.739496233933,633.978571188577,778.726160128002,762.755260216477,797.828923469259,957.11271263831,952.929911894195,750.666376957197,781.276696849125,967.17111543198,932.319336582483,757.863821416506,864.718368576124,965.248175605259,764.901108166146,852.163851369198,632.689049660186,825.876919990044,944.816680055973,631.85324884965,723.926274788214,880.228444146096,940.806273123736,962.705566342938,746.917917783406
930.622681476707,690.295548058538,992.657617423778,657.391522230155,642.293152182458,694.922756594895,713.134592350184,774.545235347451,803.123535159428,699.886364722558,807.781946078535,905.400900826485,983.863752916861,835.167041015537,923.606399064049,881.53108816906,706.933891850469,631.074133406342,646.51832602322,802.669160961835,686.510840021487,934.689103458838,950.79102629103,749.053077180516,942.530194580359,945.115343686529,826.815318230901,767.854961457674,833.545638464984,662.992806896192,788.920682154825,872.135970643092,792.588428866209,849.823288333509,885.039308868647,640.348832867257,814.728938728894,939.148704682484,639.428257861876,758.404569317706,834.672162706015,855.692859811081,828.887808709693,933.582156235133,790.017351792476,839.442792502416,851.64257244174,866.42654383995,1002.99856602257,715.941361823091,869.259422369051,647.092812561739,900.028022662924,937.630607410878,847.790767392998,634.173108648479,939.535979782111,811.920086879655,822.922147863927,799.258847497212,621.052484285736,750.710748777181,894.900788863367,756.288309414211,941.79033427554,710.636774234258,903.336645315572,973.247695593045,925.625782147729,829.648808355545,871.692988447039,699.192096830641,961.581829982474,925.232976492598,873.002153158522,834.056699826112,636.775614488877,789.673443667466,772.679428126854,801.067269308447,965.964628512168,961.609689127707,755.058641423444,783.751633987154,974.257690684376,933.199334628045,760.826154253026,870.07575750249,971.79572088092,773.497672831103,863.491530312961,638.953279172322,834.12404715489,948.473780442429,638.918624667367,731.406178632515,887.952320815781,944.486482267836,969.297348326856,749.49916864799
